GeoName,Description,years,value_x,value_y,difference
Louisiana,Other,2009,93.4,100.1,-6.693306693306682
Maine,Other,2009,98.6,100.1,-1.4985014985014986
Maryland,Other,2009,111.5,100.1,11.388611388611395
Massachusetts,Other,2009,111.2,100.1,11.088911088911098
Michigan,Other,2009,98.1,100.1,-1.998001998001998
Minnesota,Other,2009,98.5,100.1,-1.598401598401593
Mississippi,Other,2009,91.7,100.1,-8.391608391608383
Missouri,Other,2009,90.0,100.1,-10.089910089910086
Montana,Other,2009,95.8,100.1,-4.295704295704293
Nebraska,Other,2009,92.0,100.1,-8.091908091908087
Nevada,Other,2009,98.8,100.1,-1.298701298701296
New Hampshire,Other,2009,107.7,100.1,7.592407592407602
New Jersey,Other,2009,113.7,100.1,13.586413586413595
New Mexico,Other,2009,98.2,100.1,-1.8981018981018898
New York,Other,2009,114.2,100.1,14.085914085914094
North Carolina,Other,2009,93.3,100.1,-6.7932067932067906
North Dakota,Other,2009,91.3,100.1,-8.791208791208788
Ohio,Other,2009,92.1,100.1,-7.992007992007992
Oklahoma,Other,2009,92.8,100.1,-7.29270729270729
Oregon,Other,2009,99.4,100.1,-0.6993006993006881
Pennsylvania,Other,2009,102.2,100.1,2.097902097902107
Rhode Island,Other,2009,98.3,100.1,-1.7982017982017955
South Carolina,Other,2009,93.5,100.1,-6.593406593406588
South Dakota,Other,2009,90.8,100.1,-9.29070929070929
Tennessee,Other,2009,93.2,100.1,-6.893106893106885
Texas,Other,2009,99.2,100.1,-0.8991008991008906
Utah,Other,2009,98.4,100.1,-1.698301698301687
Vermont,Other,2009,98.2,100.1,-1.8981018981018898
Virginia,Other,2009,101.3,100.1,1.1988011988012017
Washington,Other,2009,99.6,100.1,-0.4995004995004995
West Virginia,Other,2009,93.5,100.1,-6.593406593406588
Wisconsin,Other,2009,91.9,100.1,-8.191808191808182
Wyoming,Other,2009,96.2,100.1,-3.8961038961038876
United States,All items,2010,100.0,100.0,0.0
Alabama,All items,2010,87.9,100.0,-12.099999999999994
Alaska,All items,2010,105.5,100.0,5.5
Arizona,All items,2010,98.6,100.0,-1.4000000000000057
Arkansas,All items,2010,87.7,100.0,-12.299999999999997
California,All items,2010,113.6,100.0,13.599999999999996
Colorado,All items,2010,100.9,100.0,0.9000000000000057
Connecticut,All items,2010,109.4,100.0,9.400000000000006
Delaware,All items,2010,102.8,100.0,2.799999999999997
District of Columbia,All items,2010,118.2,100.0,18.200000000000003
Florida,All items,2010,99.1,100.0,-0.9000000000000057
Georgia,All items,2010,92.3,100.0,-7.700000000000003
Hawaii,All items,2010,117.2,100.0,17.200000000000003
Idaho,All items,2010,93.5,100.0,-6.5
Illinois,All items,2010,100.9,100.0,0.9000000000000057
